,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
13,13,20210608, 16:22:33,0.0966506,1.248663,-0.1909831,-0.02799924,0.7871161,0.04952618, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
14,14,20210608, 16:22:33,0.0966506,1.248663,-0.1909831,-0.02799924,0.7871161,0.04952618, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
15,15,20210608, 16:22:33,0.09685016,1.248723,-0.1905057,-0.02800949,0.7858982,0.04976233, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
16,16,20210608, 16:22:33,0.09685016,1.248723,-0.1905057,-0.02800949,0.7858982,0.04976233, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
17,17,20210608, 16:22:33,0.09685016,1.248723,-0.1905057,-0.02800949,0.7858982,0.04976233, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2155914,-0.08903503,0.9724121,31,0.9729647,0.09429932,-0.1070709,0.9897614,-34.20786,3.030319,-34.69606,3.764587,0.5951098,0.5600848,0,0,0,31,0.9203091,0.3015137,-0.07510376,0.9504852,36.60049,4.643997,-31.0591,4.68367,0.325655,0.4508133,0,0,0,
18,18,20210608, 16:22:33,0.09705663,1.248729,-0.1897165,-0.02766071,0.7841052,0.05004853, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
19,19,20210608, 16:22:33,0.09705663,1.248729,-0.1897165,-0.02766071,0.7841052,0.05004853, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
20,20,20210608, 16:22:33,0.09705663,1.248729,-0.1897165,-0.02766071,0.7841052,0.05004853, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe gsr O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
21,21,20210608, 16:22:33,0.09701204,1.248716,-0.1890838,-0.02712324,0.7823977,0.05045596, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe bvp O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
22,22,20210608, 16:22:33,0.09701204,1.248716,-0.1890838,-0.02712324,0.7823977,0.05045596, E4_Gsr 1623136953.228 0.2485483, , R device_subscribe bvp O,0.2410431,-0.0819397,0.967041,31,0.9729647,0.09355164,-0.1096954,0.9895477,-34.21181,3.004822,-34.59418,3.750015,0.5952118,0.5603401,0,0,0,31,0.9203091,0.3010101,-0.06977844,0.9510498,36.59946,4.642441,-31.06355,4.675995,0.3257592,0.4502513,0,0,0,
