,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
3,3,20210608, 15:46:14,-0.06545043,1.261904,-0.2145798,-0.02850766,0.6986259,-0.000448515, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.01246643,-0.04772949,0.9987793,31,1,-0.1522064,-0.08200073,0.9849396,-33.03993,3.872971,-30.39827,4.387924,0.5801424,0.4879237,0,0,0,31,1,-0.00668335,-0.04629517,0.9989014,37.66219,1.990234,-30.07828,4.941666,0.3263424,0.5300617,0,0,0,
4,4,20210608, 15:46:14,-0.06545043,1.261904,-0.2145798,-0.02850766,0.6986259,-0.000448515, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.01246643,-0.04772949,0.9987793,31,1,-0.1522064,-0.08200073,0.9849396,-33.03993,3.872971,-30.39827,4.387924,0.5801424,0.4879237,0,0,0,31,1,-0.00668335,-0.04629517,0.9989014,37.66219,1.990234,-30.07828,4.941666,0.3263424,0.5300617,0,0,0,
5,5,20210608, 15:46:14,-0.06545043,1.261904,-0.2145798,-0.02850766,0.6986259,-0.000448515, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.01246643,-0.04772949,0.9987793,31,1,-0.1522064,-0.08200073,0.9849396,-33.03993,3.872971,-30.39827,4.387924,0.5801424,0.4879237,0,0,0,31,1,-0.00668335,-0.04629517,0.9989014,37.66219,1.990234,-30.07828,4.941666,0.3263424,0.5300617,0,0,0,
6,6,20210608, 15:46:14,-0.0653441,1.2618,-0.2144719,-0.02824537,0.6984821,-0.000901173, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.006195068,-0.04649353,0.9988861,31,1,-0.1558228,-0.0824585,0.9843292,-33.04555,3.87883,-30.42909,4.367218,0.5807902,0.4880472,0,0,0,31,1,-0.005447388,-0.04631042,0.9989014,37.65935,1.993774,-30.07242,4.97229,0.326261,0.529913,0,0,0,
7,7,20210608, 15:46:14,-0.0653441,1.2618,-0.2144719,-0.02824537,0.6984821,-0.000901173, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.006195068,-0.04649353,0.9988861,31,1,-0.1558228,-0.0824585,0.9843292,-33.04555,3.87883,-30.42909,4.367218,0.5807902,0.4880472,0,0,0,31,1,-0.005447388,-0.04631042,0.9989014,37.65935,1.993774,-30.07242,4.97229,0.326261,0.529913,0,0,0,
8,8,20210608, 15:46:14,-0.0653441,1.2618,-0.2144719,-0.02824537,0.6984821,-0.000901173, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.006195068,-0.04649353,0.9988861,31,1,-0.1558228,-0.0824585,0.9843292,-33.04555,3.87883,-30.42909,4.367218,0.5807902,0.4880472,0,0,0,31,1,-0.005447388,-0.04631042,0.9989014,37.65935,1.993774,-30.07242,4.97229,0.326261,0.529913,0,0,0,
9,9,20210608, 15:46:14,-0.06507874,1.261746,-0.2144235,-0.02780779,0.6984249,-0.001306209, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.04611206,-0.05671692,0.9973145,31,1,-0.1575623,-0.08326721,0.9839783,-33.05904,3.875412,-30.4162,4.352417,0.5814483,0.4881403,0,0,0,31,1,-0.007843018,-0.04745483,0.9988403,37.65562,1.993774,-30.06715,4.966293,0.3266917,0.5300114,0,0,0,
10,10,20210608, 15:46:14,-0.06507874,1.261746,-0.2144235,-0.02780779,0.6984249,-0.001306209, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.04611206,-0.05671692,0.9973145,31,1,-0.1575623,-0.08326721,0.9839783,-33.05904,3.875412,-30.4162,4.352417,0.5814483,0.4881403,0,0,0,31,1,-0.007843018,-0.04745483,0.9988403,37.65562,1.993774,-30.06715,4.966293,0.3266917,0.5300114,0,0,0,
11,11,20210608, 15:46:14,-0.06507874,1.261746,-0.2144235,-0.02780779,0.6984249,-0.001306209, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.04611206,-0.05671692,0.9973145,31,1,-0.1575623,-0.08326721,0.9839783,-33.05904,3.875412,-30.4162,4.352417,0.5814483,0.4881403,0,0,0,31,1,-0.007843018,-0.04745483,0.9988403,37.65562,1.993774,-30.06715,4.966293,0.3266917,0.5300114,0,0,0,
12,12,20210608, 15:46:14,-0.06484342,1.261456,-0.2144188,-0.02703051,0.6984381,-0.002009531, E4_Gsr 1623134773.728 0.1191494, , R device_subscribe gsr O,-0.06484985,-0.06105042,0.9960175,31,1,-0.1562805,-0.08131409,0.9843445,-33.06461,3.867111,-30.42441,4.345505,0.5814901,0.4882659,0,0,0,31,1,-0.003540039,-0.04722595,0.9988708,37.64752,1.990234,-30.06383,4.963623,0.3264754,0.5300617,0,0,0,
