,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
3,3,20210608, 16:21:02,0.08509803,1.279549,-0.1865546,-0.08641931,0.7763546,0.1223836, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.04331772,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
4,4,20210608, 16:21:02,0.08509803,1.279549,-0.1865546,-0.08641931,0.7763546,0.1223836, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.04331772,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
5,5,20210608, 16:21:02,0.08509803,1.279549,-0.1865546,-0.08641931,0.7763546,0.1223836, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.04331772,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
6,6,20210608, 16:21:02,0.08507657,1.279637,-0.1866093,-0.08686244,0.7765447,0.1221773, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.05598633,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
7,7,20210608, 16:21:02,0.08507657,1.279637,-0.1866093,-0.08686244,0.7765447,0.1221773, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.05598633,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
8,8,20210608, 16:21:02,0.08507657,1.279637,-0.1866093,-0.08686244,0.7765447,0.1221773, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.05598633,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
9,9,20210608, 16:21:02,0.08507848,1.279672,-0.1866305,-0.08680225,0.7766467,0.1221145, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
10,10,20210608, 16:21:02,0.08507848,1.279672,-0.1866305,-0.08680225,0.7766467,0.1221145, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
11,11,20210608, 16:21:02,0.08507848,1.279672,-0.1866305,-0.08680225,0.7766467,0.1221145, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
12,12,20210608, 16:21:02,0.08494329,1.279681,-0.1867139,-0.08673351,0.77684,0.1220151, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
13,13,20210608, 16:21:02,0.08494329,1.279681,-0.1867139,-0.08673351,0.77684,0.1220151, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
14,14,20210608, 16:21:02,0.08494329,1.279681,-0.1867139,-0.08673351,0.77684,0.1220151, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,8,0.102515,0,0,0,-32.53297,0.6569519,-36.00928,-1,-1,-1,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
15,15,20210608, 16:21:02,0.08492589,1.279647,-0.1867239,-0.08673652,0.7769269,0.1220264, E4_Gsr 1623136861.728 0.2472671, , R device_subscribe gsr O,-1,-1,-1,24,0.1104156,0,0,0,-32.53297,0.6569519,-36.00928,-1,0.5247751,0.6969573,0,0,0,8,0,0,0,0,37.07994,1.420822,-31.88538,-1,-1,-1,0,0,0,
