,Unnamed: 0,Date, Time, Left_pos.x, Left_pos.y, Left_pos.z, Left_rot.x, Left_rot.y, Left_rot.z, EDA, BVP, TMP, combined_x, combined_y, combined_z, r_bit, r_open, r_dir_x, r_dir_y, r_dir_z, r_gaze_origin_x, r_gaze_origin_y, r_gaze_origin_z, r_pupil, r_pupil_pos, r_pupil_pos_x, r_pupil_pos_y, r_frown, r_squeeze, r_widel_bit, l_open, l_dir_x, l_dir_y, l_dir_z, l_gaze_origin_x, l_gaze_origin_y, l_gaze_origin_z, l_pupil, l_pupil_pos, l_pupil_pos_x, l_pupil_pos_y, l_frown, l_squeeze, l_wide
3,3,20210608, 15:59:16,0.03018141,1.253958,-0.1317461,0.004788051,0.7388853,-0.01429396, default, , R device_subscribe gsr O,-0.09146118,0.00177002,0.9958038,31,0.8980373,-0.09643555,0.001831055,0.9953308,-35.48219,4.63942,-34.49481,3.390549,0.6650186,0.4861979,0,0,0,31,0.9995725,0.09794617,-0.000656128,0.9951782,35.07146,4.828598,-29.90327,3.833832,0.4059928,0.4262949,0,0,0,
4,4,20210608, 15:59:16,0.03018141,1.253958,-0.1317461,0.004788051,0.7388853,-0.01429396, default, , R device_subscribe gsr O,-0.09146118,0.00177002,0.9958038,31,0.8980373,-0.09643555,0.001831055,0.9953308,-35.48219,4.63942,-34.49481,3.390549,0.6650186,0.4861979,0,0,0,31,0.9995725,0.09794617,-0.000656128,0.9951782,35.07146,4.828598,-29.90327,3.833832,0.4059928,0.4262949,0,0,0,
5,5,20210608, 15:59:16,0.03018141,1.253958,-0.1317461,0.004788051,0.7388853,-0.01429396, default, , R device_subscribe gsr O,-0.09146118,0.00177002,0.9958038,31,0.8980373,-0.09643555,0.001831055,0.9953308,-35.48219,4.63942,-34.49481,3.390549,0.6650186,0.4861979,0,0,0,31,0.9995725,0.09794617,-0.000656128,0.9951782,35.07146,4.828598,-29.90327,3.833832,0.4059928,0.4262949,0,0,0,
6,6,20210608, 15:59:16,0.02999377,1.253872,-0.1318224,0.004755262,0.7387766,-0.01439007, default, , R device_subscribe gsr O,-0.004104614,0.01023865,0.999939,31,0.9436948,-0.004150391,0.01022339,0.999939,-35.14323,4.548538,-33.56821,3.153015,0.6390463,0.4799165,0,0,0,31,0.982625,0.1764984,0.03170776,0.9837799,35.36736,4.965393,-29.93846,3.729309,0.3864392,0.4177645,0,0,0,
7,7,20210608, 15:59:16,0.02999377,1.253872,-0.1318224,0.004755262,0.7387766,-0.01439007, default, , R device_subscribe gsr O,-0.004104614,0.01023865,0.999939,31,0.9436948,-0.004150391,0.01022339,0.999939,-35.14323,4.548538,-33.56821,3.153015,0.6390463,0.4799165,0,0,0,31,0.982625,0.1764984,0.03170776,0.9837799,35.36736,4.965393,-29.93846,3.729309,0.3864392,0.4177645,0,0,0,
8,8,20210608, 15:59:16,0.02999377,1.253872,-0.1318224,0.004755262,0.7387766,-0.01439007, default, , R device_subscribe gsr O,-0.004104614,0.01023865,0.999939,31,0.9436948,-0.004150391,0.01022339,0.999939,-35.14323,4.548538,-33.56821,3.153015,0.6390463,0.4799165,0,0,0,31,0.982625,0.1764984,0.03170776,0.9837799,35.36736,4.965393,-29.93846,3.729309,0.3864392,0.4177645,0,0,0,
9,9,20210608, 15:59:16,0.03005004,1.253892,-0.1318274,0.004806688,0.7387194,-0.01431583, default, , R device_subscribe gsr O,-0.01274109,-0.002304077,0.9999084,31,1,-0.01277161,-0.002319336,0.9999084,-35.19522,4.455093,-33.22157,3.110977,0.6414467,0.4816495,0,0,0,31,1,0.1290588,0.04620361,0.9905548,35.46623,5.190292,-31.15811,3.612091,0.3876166,0.4179688,0,0,0,
10,10,20210608, 15:59:16,0.03005004,1.253892,-0.1318274,0.004806688,0.7387194,-0.01431583, default, , R device_subscribe gsr O,-0.01274109,-0.002304077,0.9999084,31,1,-0.01277161,-0.002319336,0.9999084,-35.19522,4.455093,-33.22157,3.110977,0.6414467,0.4816495,0,0,0,31,1,0.1290588,0.04620361,0.9905548,35.46623,5.190292,-31.15811,3.612091,0.3876166,0.4179688,0,0,0,
11,11,20210608, 15:59:16,0.03005004,1.253892,-0.1318274,0.004806688,0.7387194,-0.01431583, default, , R device_subscribe gsr O,-0.01274109,-0.002304077,0.9999084,31,1,-0.01277161,-0.002319336,0.9999084,-35.19522,4.455093,-33.22157,3.110977,0.6414467,0.4816495,0,0,0,31,1,0.1290588,0.04620361,0.9905548,35.46623,5.190292,-31.15811,3.612091,0.3876166,0.4179688,0,0,0,
12,12,20210608, 15:59:16,0.02995896,1.25393,-0.1318814,0.004740354,0.738797,-0.01439809, default, , R device_subscribe gsr O,-0.01342773,0.002456665,0.9998932,31,1,-0.01345825,0.002456665,0.9998932,-35.20383,4.449875,-33.19064,3.137085,0.6418352,0.4809776,0,0,0,31,1,0.1260681,0.04537964,0.9909668,35.46915,5.192169,-31.17163,3.558014,0.3879178,0.4180635,0,0,0,
